Key,Value
EngineRPM, Engine_RPM
engineRPM, Engine_RPM
Engine, Engine_RPM
RPM, Engine_RPM
Rpm, Engine_RPM
rpm, Engine_RPM
Utc, UTC
UTC, UTC
Analog1, Analog1
Battery, Battery
AccelX, Acceleration_X
AccelY, Acceleration_Y
AccelZ, Acceleration_Z
Yaw, Yaw
Pitch, Pitch
Roll, Roll
AxleRpm, Axle_RPM
Latitude, Latitude
Longitude, Longitude
Speed, Speed
Distance, Distance
Altitude, Altitude
GPSSats, GPS_Satillites
GPSQual, GPS_Quality
GPSDOP, GPS_DOP
LapCount, Lap_Count
LapTime, Lap_Time
Sector, Sector
SectorTime, Sector_Time
PredTime, Predicted_Time
ElapsedTime, Elapsed_Time
CurrentLap, Current_Lap
