"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|100,"EngineRPM"|""|0|10000|100,"AxleRpm"|""|0|10000|100,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
2733814,1501038836353,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2733824,1501038836363,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2733834,1501038836373,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2733844,1501038836383,3.23,,-0.05,-0.05,0.91,-2,-6,4,0,1500,0,36.113667,-115.145668,0.0,5.812,2035.9,9,3,2.2,0,0.0,-1,0.0,0.0,0.0,0
2733854,1501038836392,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2733864,1501038836402,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2733874,1501038836412,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2733884,1501038836422,3.21,,-0.04,-0.03,0.92,-2,-5,4,0,1635,0,,,,,,,,,,,,,,,
2733894,1501038836432,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2733904,1501038836442,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2733914,1501038836452,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2733924,1501038836462,3.22,,-0.0,0.0,1.0,-2,-6,4,0,1500,0,,,,,,,,,,,,,,,
2733934,1501038836472,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2733944,1501038836482,,,,,,,,,0,1590,0,36.113667,-115.145668,0.0,5.812,2035.9,9,3,2.2,0,0.0,-1,0.0,0.0,0.0,0
2733954,1501038836492,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2733964,1501038836502,3.19,,0.04,0.01,1.05,-2,-7,3,0,1635,0,,,,,,,,,,,,,,,
2733974,1501038836512,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2733984,1501038836522,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2733994,1501038836532,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2734004,1501038836542,3.21,,0.04,0.0,1.16,-2,-4,4,0,1500,0,,,,,,,,,,,,,,,
2734014,1501038836552,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2734024,1501038836562,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2734034,1501038836572,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2734044,1501038836582,3.17,4.51,0.01,-0.01,1.17,-1,-2,4,0,1590,0,36.113667,-115.145668,0.0,5.812,2035.9,9,3,2.2,0,0.0,-1,0.0,0.0,0.0,0
2734054,1501038836592,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2734064,1501038836602,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
