"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|100,"EngineRPM"|""|0|10000|100,"AxleRpm"|""|0|10000|100,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
4118024,1501040220582,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
4118034,1501040220592,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
4118044,1501040220602,3.4,4.45,-0.04,-0.08,1.06,-1,-1,4,0,1650,0,36.113472,-115.145988,0.0,9.203,2040.5,8,2,2.4,0,0.0,-1,0.0,0.0,0.0,0
4118054,1501040220612,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
4118064,1501040220622,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
4118074,1501040220632,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
4118084,1501040220642,3.4,,-0.06,-0.08,1.02,-1,-1,4,0,1650,0,,,,,,,,,,,,,,,
4118094,1501040220652,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
4118104,1501040220662,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
4118114,1501040220672,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
4118124,1501040220682,3.39,,-0.06,-0.08,0.97,-1,-2,4,0,1635,0,,,,,,,,,,,,,,,
4118134,1501040220692,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
4118144,1501040220702,,,,,,,,,0,1620,0,36.113472,-115.145988,0.0,9.203,2040.5,8,2,2.4,0,0.0,-1,0.0,0.0,0.0,0
4118154,1501040220712,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
4118164,1501040220722,3.41,,-0.01,-0.09,0.96,-1,-4,4,0,1605,0,,,,,,,,,,,,,,,
4118174,1501040220732,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
4118184,1501040220742,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
4118194,1501040220752,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
4118204,1501040220762,3.4,,0.0,-0.09,0.98,-1,-4,4,0,1650,0,,,,,,,,,,,,,,,
4118214,1501040220772,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
4118224,1501040220782,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
4118234,1501040220791,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
4118244,1501040220801,3.4,,-0.02,-0.08,1.03,-1,-3,4,0,1590,0,36.113472,-115.145988,0.0,9.203,2040.5,8,2,2.4,0,0.0,-1,0.0,0.0,0.0,0
4118254,1501040220811,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
4118264,1501040220821,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
4118274,1501040220831,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
4118284,1501040220841,3.4,,-0.05,-0.08,1.04,-1,-2,4,0,1620,0,,,,,,,,,,,,,,,
4118294,1501040220851,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
4118304,1501040220861,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
4118314,1501040220871,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
4118324,1501040220881,3.39,,-0.07,-0.08,0.99,-2,-3,4,0,1590,0,,,,,,,,,,,,,,,
4118334,1501040220891,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
4118344,1501040220901,,,,,,,,,0,1650,0,36.113472,-115.145988,0.0,9.203,2040.5,8,2,2.4,0,0.0,-1,0.0,0.0,0.0,0
4118354,1501040220911,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
4118364,1501040220921,3.39,,-0.05,-0.09,0.94,-1,-5,4,0,1635,0,,,,,,,,,,,,,,,
4118374,1501040220931,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
4118384,1501040220941,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
4118394,1501040220951,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
4118404,1501040220961,3.39,,-0.01,-0.09,0.95,-2,-7,4,0,1605,0,,,,,,,,,,,,,,,
4118414,1501040220971,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
4118424,1501040220981,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
4118434,1501040220991,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
4118444,1501040220995,3.39,,0.0,-0.09,1.01,-2,-7,4,0,1605,0,36.113472,-115.145988,0.0,9.203,2040.5,8,2,2.4,0,0.0,-1,0.0,0.0,0.0,0
4118454,1501040221005,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
4118464,1501040221015,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
4118474,1501040221025,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
4118484,1501040221035,3.38,,-0.02,-0.08,1.03,-2,-6,4,0,1635,0,,,,,,,,,,,,,,,
4118494,1501040221045,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
4118504,1501040221055,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
4118514,1501040221065,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
4118524,1501040221075,3.37,,-0.07,-0.08,1.07,-2,-4,4,0,1635,0,,,,,,,,,,,,,,,
4118534,1501040221093,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
